Dia 369 - Máquina 5 -> Ação: parada preventiva, Previsão: [0.9952290058135986, 0.00031730878981761634, 0.9532381296157837]
Dia 369 - Máquina 6 -> Ação: parada preventiva, Previsão: [1.0, 1.5904394121135645e-11, 0.9980290532112122]
Dia 369 - Máquina 7 -> Ação: parada preventiva, Previsão: [0.9999997615814209, 1.077497757684398e-09, 0.7500142455101013]
Dia 369 - Máquina 8 -> Ação: parada preventiva, Previsão: [1.0, 6.28102602165493e-20, 0.9870571494102478]
Dia 369 - Máquina 9 -> Ação: parada preventiva, Previsão: [1.0, 5.495263143703651e-18, 0.8800985217094421]
Dia 370 - Máquina 0 -> Ação: parada preventiva, Previsão: [1.0, 3.63923436741756e-14, 0.8293620944023132]
Dia 370 - Máquina 1 -> Ação: parada preventiva, Previsão: [1.0, 1.0779584808730562e-16, 0.9902293086051941]
Dia 370 - Máquina 2 -> Ação: parada preventiva, Previsão: [1.0, 1.5966276911694166e-11, 0.7851687669754028]
Dia 370 - Máquina 3 -> Ação: parada preventiva, Previsão: [1.0, 1.6338055989486774e-14, 0.9470270872116089]
Dia 370 - Máquina 4 -> Ação: parada preventiva, Previsão: [0.9987577199935913, 2.9331336918403395e-05, 0.9941270351409912]
Dia 370 - Máquina 5 -> Ação: parada preventiva, Previsão: [0.9952290058135986, 0.00031730878981761634, 0.9532381296157837]
Dia 370 - Máquina 6 -> Ação: parada preventiva, Previsão: [1.0, 1.6241327727151145e-11, 0.9982101917266846]
Dia 370 - Máquina 7 -> Ação: parada preventiva, Previsão: [0.9999997615814209, 1.077497757684398e-09, 0.7500142455101013]
Dia 370 - Máquina 8 -> Ação: parada preventiva, Previsão: [1.0, 6.414076730714378e-20, 0.9882346391677856]
Dia 370 - Máquina 9 -> Ação: parada preventiva, Previsão: [1.0, 5.495263143703651e-18, 0.8800985217094421]
Dia 371 - Máquina 0 -> Ação: parada preventiva, Previsão: [1.0, 3.63923436741756e-14, 0.8293620944023132]
Dia 371 - Máquina 1 -> Ação: parada preventiva, Previsão: [1.0, 1.100792834769807e-16, 0.9911208748817444]
Dia 371 - Máquina 2 -> Ação: parada preventiva, Previsão: [1.0, 1.5966276911694166e-11, 0.7851687669754028]
Dia 371 - Máquina 3 -> Ação: parada preventiva, Previsão: [1.0, 1.6684112994153413e-14, 0.9516685605049133]
Dia 371 - Máquina 4 -> Ação: parada preventiva, Previsão: [0.9987577199935913, 2.9331336918403395e-05, 0.9941270351409912]
Dia 371 - Máquina 5 -> Ação: parada preventiva, Previsão: [0.9952290058135986, 0.00031730878981761634, 0.9532381296157837]
Dia 371 - Máquina 6 -> Ação: parada preventiva, Previsão: [1.0, 5.70248232314996e-12, 0.7931937575340271]
Dia 371 - Máquina 7 -> Ação: parada preventiva, Previsão: [0.9999997615814209, 1.077497757684398e-09, 0.7500142455101013]
Dia 371 - Máquina 8 -> Ação: parada preventiva, Previsão: [1.0, 6.549946316205041e-20, 0.9893062710762024]
Dia 371 - Máquina 9 -> Ação: parada preventiva, Previsão: [1.0, 5.495263143703651e-18, 0.8800985217094421]
Dia 372 - Máquina 0 -> Ação: parada preventiva, Previsão: [1.0, 3.63923436741756e-14, 0.8293620944023132]
Dia 372 - Máquina 1 -> Ação: parada preventiva, Previsão: [1.0, 1.1241109238887788e-16, 0.9919317364692688]
Dia 372 - Máquina 2 -> Ação: parada preventiva, Previsão: [1.0, 1.5966276911694166e-11, 0.7851687669754028]
Dia 372 - Máquina 3 -> Ação: parada preventiva, Previsão: [1.0, 1.7037630665019468e-14, 0.9559219479560852]
Dia 372 - Máquina 4 -> Ação: parada preventiva, Previsão: [0.9987577199935913, 2.9331336918403395e-05, 0.9941270351409912]
Dia 372 - Máquina 5 -> Ação: parada preventiva, Previsão: [0.9952290058135986, 0.00031730878981761634, 0.9532381296157837]
Dia 372 - Máquina 6 -> Ação: parada preventiva, Previsão: [1.0, 5.70248232314996e-12, 0.7931937575340271]
Dia 372 - Máquina 7 -> Ação: parada preventiva, Previsão: [0.9999997615814209, 1.099921598246567e-09, 0.7742834091186523]
Dia 372 - Máquina 8 -> Ação: parada preventiva, Previsão: [1.0, 6.688693585498594e-20, 0.9902812242507935]
Dia 372 - Máquina 9 -> Ação: parada preventiva, Previsão: [1.0, 5.495263143703651e-18, 0.8800985217094421]
Dia 373 - Máquina 0 -> Ação: parada preventiva, Previsão: [1.0, 3.63923436741756e-14, 0.8293620944023132]
Dia 373 - Máquina 1 -> Ação: parada preventiva, Previsão: [1.0, 1.1479230052695674e-16, 0.9926691055297852]
Dia 373 - Máquina 2 -> Ação: parada preventiva, Previsão: [1.0, 1.5966276911694166e-11, 0.7851687669754028]
Dia 373 - Máquina 3 -> Ação: parada preventiva, Previsão: [1.0, 1.7037630665019468e-14, 0.9559219479560852]
Dia 373 - Máquina 4 -> Ação: parada preventiva, Previsão: [0.9987013339996338, 3.0377579605556093e-05, 0.9946738481521606]
Dia 373 - Máquina 5 -> Ação: parada preventiva, Previsão: [0.9952290058135986, 0.00031730878981761634, 0.9532381296157837]
Dia 373 - Máquina 6 -> Ação: parada preventiva, Previsão: [1.0, 5.70248232314996e-12, 0.7931937575340271]
Dia 373 - Máquina 7 -> Ação: parada preventiva, Previsão: [0.9999997615814209, 1.1228120655459861e-09, 0.7968344688415527]
Dia 373 - Máquina 8 -> Ação: parada preventiva, Previsão: [1.0, 6.83040642653512e-20, 0.9911681413650513]
Dia 373 - Máquina 9 -> Ação: parada preventiva, Previsão: [1.0, 5.495263143703651e-18, 0.8800985217094421]
Dia 374 - Máquina 0 -> Ação: parada preventiva, Previsão: [1.0, 3.63923436741756e-14, 0.8293620944023132]
Dia 374 - Máquina 1 -> Ação: parada preventiva, Previsão: [1.0, 1.1722438358143005e-16, 0.993339478969574]
Dia 374 - Máquina 2 -> Ação: parada preventiva, Previsão: [1.0, 1.5966276911694166e-11, 0.7851687669754028]
Dia 374 - Máquina 3 -> Ação: parada preventiva, Previsão: [1.0, 1.7037630665019468e-14, 0.9559219479560852]
Dia 374 - Máquina 4 -> Ação: parada preventiva, Previsão: [0.9987013339996338, 3.0377579605556093e-05, 0.9946738481521606]
Dia 374 - Máquina 5 -> Ação: parada preventiva, Previsão: [0.9950131773948669, 0.00032862371881492436, 0.9574295282363892]
Dia 374 - Máquina 6 -> Ação: parada preventiva, Previsão: [1.0, 5.821156924545878e-12, 0.8143088221549988]
Dia 374 - Máquina 7 -> Ação: parada preventiva, Previsão: [0.9999997615814209, 1.1461833704373703e-09, 0.8176628947257996]
Dia 374 - Máquina 8 -> Ação: parada preventiva, Previsão: [1.0, 6.975095179072276e-20, 0.9919746518135071]
Dia 374 - Máquina 9 -> Ação: parada preventiva, Previsão: [1.0, 5.495263143703651e-18, 0.8800985217094421]
Dia 375 - Máquina 0 -> Ação: parada preventiva, Previsão: [1.0, 3.63923436741756e-14, 0.8293620944023132]
Dia 375 - Máquina 1 -> Ação: parada preventiva, Previsão: [1.0, 1.197070900893916e-16, 0.9939490556716919]
